"","S.Score","G2M.Score","Phase"
"A8.MAA001883.3_39_F.1.1",-0.743306036293031,-0.88990752471521,"G1"
"A8.MAA001884.3_38_F.1.1",2.37917446391145,3.24966946280804,"G2M"
"A8.MAA001887.3_39_F.1.1",-0.331373528464233,-0.84816539381264,"G1"
"A9.D041912.3_8_M.1.1",-0.588792796884417,-0.1740684600536,"G1"
"A9.D042044.3_9_M.1.1",2.011389765759,2.7038172140129,"G2M"
"A9.D042193.3_8_M.1.1",-1.44445984387917,-0.650340266231705,"G1"
"A9.D042479.3_8_M.1.1",1.40918796668613,3.75155796638878,"G2M"
"A9.D045140.3_38_F.1.1",-1.06060721278777,-0.541199796575236,"G1"
"A9.MAA000409.3_10_M.1.1",-0.901150869503645,-0.579255406624983,"G1"
"A9.MAA000596.3_9_M.1.1",-0.965730130061116,-0.880683956133775,"G1"
"A9.MAA000600.3_8_M.1.1",-1.10255663519362,-0.751764502189425,"G1"
"A9.MAA000639.3_9_M.1.1",-0.297265621256215,-0.563221116324204,"G1"
"A9.MAA000844.3_10_M.1.1",-0.71583741820987,-0.874715358276233,"G1"
"A9.MAA000848.3_10_M.1.1",1.07230403225859,3.1025010408605,"G2M"
"A9.MAA001844.3_38_F.1.1",-0.528469881446837,2.405907458727,"G2M"
"A9.MAA001883.3_39_F.1.1",-0.956297099773534,-0.522641526914311,"G1"
"A9.MAA001884.3_38_F.1.1",0.019199280038652,-0.313238204443104,"S"
"A9.MAA001887.3_39_F.1.1",0.98293314715097,-0.844803038884805,"S"
"B1.D041912.3_8_M.1.1",1.38395159538829,1.97579200984545,"G2M"
"B1.D042044.3_9_M.1.1",-0.602971692694242,-0.632254747942442,"G1"
"B1.D042193.3_8_M.1.1",-1.00325095443424,-0.950547215760227,"G1"
"B1.D042479.3_8_M.1.1",-0.234537194086109,-0.624666352745647,"G1"
"B1.D045140.3_38_F.1.1",-0.70183851933395,-0.153493950071801,"G1"
"B1.MAA000409.3_10_M.1.1",-0.813730119818132,-0.334605608334262,"G1"
"B1.MAA000600.3_8_M.1.1",-0.0234074596135354,-0.406977865622688,"G1"
"B1.MAA000639.3_9_M.1.1",-0.695258196164896,-0.383097768418407,"G1"
"B1.MAA000652.3_10_M.1.1",-0.409545402775548,-0.331173965432495,"G1"
"B1.MAA000844.3_10_M.1.1",-0.490658055015223,-0.599416781565981,"G1"
"B1.MAA000848.3_10_M.1.1",1.055233787949,-0.175907797232078,"S"
"B1.MAA001842.3_38_F.1.1",-0.343460866258201,-0.501075930661545,"G1"
"B1.MAA001884.3_38_F.1.1",-0.572289145789905,-0.435462820887704,"G1"
"B1.MAA001887.3_39_F.1.1",2.1777546057247,0.37175114892637,"S"
"B1.MAA001888.3_39_F.1.1",-0.815281587908798,-0.225275839565066,"G1"
"B10.D041912.3_8_M.1.1",-0.577652531783135,-0.534143599380634,"G1"
